DESCRIPCION,Año,Millones USD_FOB
CACAO,2009,13.77
ACEITE DE PALMA,2009,10.62
SARDINA,2009,0.51
CAMARON,2009,0
MADERA,2009,4.42
CONFITERIA SIN CACAO,2009,1.58
NEUMATICOS,2009,0
TABACO,2009,2.82
SUETERES,2009,0.35
"ESCENCIAS DE CAFE, TE, YERBA MATE",2009,0.4
OTROS,2009,8.92
CACAO,2010,24.36
ACEITE DE PALMA,2010,4.18
SARDINA,2010,1.93
CAMARON,2010,0.27
MADERA,2010,2.66
CONFITERIA SIN CACAO,2010,1.09
NEUMATICOS,2010,0.46
TABACO,2010,2.55
SUETERES,2010,0.94
"ESCENCIAS DE CAFE, TE, YERBA MATE",2010,0.54
OTROS,2010,12.14
CACAO,2011,29.05
ACEITE DE PALMA,2011,7.68
SARDINA,2011,1.55
CAMARON,2011,0.15
MADERA,2011,1.28
CONFITERIA SIN CACAO,2011,0.64
NEUMATICOS,2011,2.79
TABACO,2011,0.05
SUETERES,2011,1.11
"ESCENCIAS DE CAFE, TE, YERBA MATE",2011,0.29
OTROS,2011,9.67
CACAO,2012,18.61
ACEITE DE PALMA,2012,22.07
SARDINA,2012,0.84
CAMARON,2012,0
MADERA,2012,2.28
CONFITERIA SIN CACAO,2012,0.87
NEUMATICOS,2012,0.65
TABACO,2012,0
SUETERES,2012,0.6
"ESCENCIAS DE CAFE, TE, YERBA MATE",2012,0.22
OTROS,2012,9.71
CACAO,2013,23.79
ACEITE DE PALMA,2013,8.6
SARDINA,2013,6.54
CAMARON,2013,0.42
MADERA,2013,0.95
CONFITERIA SIN CACAO,2013,0.81
NEUMATICOS,2013,0
TABACO,2013,0
SUETERES,2013,0.73
"ESCENCIAS DE CAFE, TE, YERBA MATE",2013,1.69
OTROS,2013,10.65
CACAO,2014,31.27
ACEITE DE PALMA,2014,0.02
SARDINA,2014,15.28
CAMARON,2014,20.14
MADERA,2014,0.78
CONFITERIA SIN CACAO,2014,1.17
NEUMATICOS,2014,1.92
TABACO,2014,0
SUETERES,2014,0.74
"ESCENCIAS DE CAFE, TE, YERBA MATE",2014,0.82
OTROS,2014,13.88
